epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,850.145,1.12752,1.46929,1.12432,1.53292,0.84675,0.75624,0.82683,0.52911,0.82275,0.72905,0.7844,0.49791,1.21131,1.11783,1.09375,1.99097,0.00808389,0.00808389,0.00808389
31,879.205,1.11724,1.45936,1.08906,1.54058,0.75169,0.79484,0.84848,0.5515,0.7308,0.77345,0.81485,0.5258,1.17307,1.16255,1.08463,1.91679,0.00795954,0.00795954,0.00795954
32,906.65,1.1122,1.43729,1.10671,1.52252,0.80316,0.78771,0.85255,0.56304,0.7851,0.76537,0.82147,0.53742,1.1199,1.15987,1.15769,1.86559,0.00783231,0.00783231,0.00783231
33,933.572,1.09087,1.3882,1.08903,1.48833,0.78861,0.79199,0.81422,0.51754,0.7608,0.76405,0.7709,0.4892,1.17982,1.07451,1.10714,1.96539,0.00770234,0.00770234,0.00770234
34,960.408,1.10288,1.40421,1.08674,1.52031,0.82469,0.81471,0.87327,0.57359,0.80095,0.7933,0.82557,0.53745,1.11362,1.10573,1.03063,1.85995,0.00756976,0.00756976,0.00756976
35,987.176,1.11149,1.387,1.08439,1.50786,0.78317,0.79703,0.85632,0.54836,0.74586,0.7933,0.81593,0.52036,1.12517,1.17782,1.08936,1.86824,0.00743468,0.00743468,0.00743468
36,1014.01,1.10929,1.48416,1.08578,1.51768,0.85451,0.77109,0.8114,0.53336,0.83287,0.75168,0.76373,0.50185,1.21549,1.10151,1.05776,1.96817,0.00729725,0.00729725,0.00729725
37,1040.9,1.09573,1.39397,1.07969,1.50078,0.87455,0.76816,0.8751,0.59301,0.86072,0.75952,0.84243,0.56752,1.13058,1.23339,0.96978,1.85037,0.00715761,0.00715761,0.00715761
38,1067.76,1.08315,1.23601,1.03101,1.47491,0.85459,0.73184,0.85162,0.58039,0.83315,0.71229,0.81066,0.55113,1.16625,1.17737,1.22962,1.91118,0.00701588,0.00701588,0.00701588
39,1094.49,1.0947,1.49616,1.07448,1.50251,0.80673,0.82402,0.86471,0.54412,0.78485,0.80168,0.8289,0.51143,1.19915,1.11911,0.97524,2.07026,0.00687222,0.00687222,0.00687222
40,1121.32,1.04617,1.29079,1.02767,1.4505,0.8182,0.80447,0.87857,0.59254,0.79878,0.78492,0.8457,0.56691,1.08561,1.05528,1.06004,1.82606,0.00672675,0.00672675,0.00672675
41,1147.97,1.08027,1.35219,1.04215,1.4804,0.90629,0.78344,0.88387,0.62908,0.88539,0.76536,0.8454,0.58921,1.04238,1.07237,0.93317,1.76709,0.00657963,0.00657963,0.00657963
42,1174.63,1.06592,1.49693,1.02425,1.483,0.83285,0.84903,0.86934,0.62121,0.81942,0.8239,0.82988,0.58543,1.0067,1.09894,0.91083,1.7246,0.00643101,0.00643101,0.00643101
43,1201.37,1.06123,1.39487,1.02622,1.46904,0.9053,0.7477,0.85473,0.58938,0.87818,0.72067,0.80833,0.55688,1.09199,1.07033,1.02546,1.81723,0.00628101,0.00628101,0.00628101
44,1228.16,1.07693,1.3357,1.02451,1.47145,0.81401,0.81285,0.87824,0.60277,0.78496,0.7905,0.83554,0.57001,1.07088,1.11373,1.04341,1.79822,0.00612981,0.00612981,0.00612981
45,1254.86,1.05301,1.36665,1.00391,1.47618,0.90531,0.80118,0.8858,0.61069,0.88801,0.77933,0.84001,0.57734,1.0987,1.09521,0.94247,1.81836,0.00597754,0.00597754,0.00597754
46,1281.82,1.06105,1.39102,1.0178,1.47629,0.67191,0.64525,0.6804,0.43665,0.65158,0.62162,0.63624,0.39843,1.25839,1.99149,1.55389,2.07888,0.00582435,0.00582435,0.00582435
47,1308.49,1.06074,1.37899,0.99507,1.46171,0.86978,0.79888,0.87275,0.59096,0.84193,0.77374,0.82711,0.55289,1.12309,1.0309,1.03991,1.86964,0.0056704,0.0056704,0.0056704
48,1335.24,1.0263,1.35553,0.95292,1.42795,0.82709,0.8284,0.88488,0.62975,0.79597,0.7955,0.84053,0.58952,1.04428,1.12535,0.96567,1.7451,0.00551584,0.00551584,0.00551584
49,1362.2,1.00186,1.39092,0.95414,1.42707,0.89644,0.82213,0.90616,0.64336,0.88375,0.78771,0.86747,0.60942,1.04543,1.11061,0.86782,1.75087,0.00536081,0.00536081,0.00536081
50,1388.88,1.00831,1.45883,0.94196,1.4368,0.88206,0.81476,0.87121,0.59951,0.84554,0.77981,0.82211,0.56167,1.12411,1.07134,0.9945,1.85213,0.00520548,0.00520548,0.00520548
51,1417.76,1.03816,1.38916,0.95791,1.45798,0.79352,0.8352,0.88206,0.6219,0.77629,0.81844,0.84861,0.58878,1.00915,1.0835,1.0306,1.73698,0.00505,0.00505,0.00505
52,1446.63,0.97224,1.28992,0.92832,1.41686,0.87724,0.83833,0.914,0.6484,0.85264,0.81006,0.8752,0.61378,0.96879,1.027,0.85097,1.6687,0.00489452,0.00489452,0.00489452
53,1475.41,1.00405,1.37154,0.95136,1.44201,0.85782,0.81564,0.88826,0.64836,0.83661,0.80096,0.85212,0.61343,0.98181,1.04377,0.87933,1.68555,0.00473919,0.00473919,0.00473919
54,1504.2,0.9627,1.31708,0.91595,1.39167,0.8627,0.83799,0.9073,0.66486,0.83723,0.81564,0.86312,0.62762,0.98737,0.99108,0.83705,1.69821,0.00458416,0.00458416,0.00458416
55,1532.9,0.96812,1.38082,0.8918,1.37674,0.87338,0.82123,0.91217,0.66133,0.86476,0.80376,0.87336,0.62481,0.98137,1.04911,0.83434,1.66486,0.0044296,0.0044296,0.0044296
56,1561.28,0.96914,1.34196,0.90407,1.39392,0.90372,0.78654,0.90352,0.66113,0.87187,0.7603,0.8554,0.62909,0.97668,1.02434,0.82275,1.66634,0.00427565,0.00427565,0.00427565
57,1587.96,0.96349,1.21677,0.86946,1.37626,0.87976,0.79711,0.87942,0.62787,0.84888,0.76882,0.83099,0.58914,1.05454,1.10422,0.89598,1.74528,0.00412246,0.00412246,0.00412246
58,1614.73,0.99233,1.34408,0.92861,1.40986,0.92641,0.80878,0.90694,0.66366,0.88987,0.80447,0.86896,0.62501,0.95365,1.14155,0.79943,1.67535,0.00397019,0.00397019,0.00397019
59,1641.6,0.95428,1.33994,0.88316,1.36307,0.90947,0.78574,0.91527,0.67397,0.88588,0.76536,0.87501,0.63814,0.93558,1.08765,0.8162,1.64895,0.00381899,0.00381899,0.00381899
60,1668.36,0.94778,1.38793,0.89115,1.38535,0.87122,0.81258,0.89033,0.63377,0.84648,0.79609,0.84904,0.59617,1.02201,1.14585,1.02903,1.74037,0.00366899,0.00366899,0.00366899
61,1695.21,0.94406,1.34715,0.89601,1.38068,0.8982,0.8133,0.91918,0.66674,0.89122,0.77813,0.87241,0.61893,0.93019,1.08207,0.8419,1.64649,0.00352037,0.00352037,0.00352037
62,1721.84,0.93487,1.26688,0.86087,1.37477,0.89716,0.80411,0.8998,0.68418,0.87534,0.78456,0.85359,0.6365,0.90641,1.13692,0.73754,1.59138,0.00337325,0.00337325,0.00337325
63,1748.54,0.92295,1.25102,0.84048,1.3709,0.88579,0.82321,0.90813,0.68271,0.8588,0.79848,0.85905,0.63075,0.90997,1.09795,0.82368,1.60354,0.00322778,0.00322778,0.00322778
64,1775.23,0.91146,1.2402,0.8239,1.36743,0.87294,0.82123,0.90458,0.6687,0.85797,0.79306,0.86609,0.6307,0.96055,1.09995,0.90152,1.63851,0.00308412,0.00308412,0.00308412
65,1801.78,0.91591,1.22872,0.86047,1.35211,0.87178,0.83562,0.91045,0.67852,0.85817,0.81128,0.87168,0.6424,0.93523,1.08087,0.77578,1.62486,0.00294239,0.00294239,0.00294239
66,1828.44,0.91512,1.30086,0.84734,1.35677,0.88514,0.84358,0.913,0.68476,0.8723,0.8014,0.86752,0.63805,0.90998,1.02045,0.75913,1.61753,0.00280275,0.00280275,0.00280275
67,1855.09,0.90556,1.24559,0.85188,1.35028,0.88608,0.84358,0.92456,0.68625,0.85807,0.82749,0.89061,0.65111,0.94852,0.96605,0.80083,1.65186,0.00266532,0.00266532,0.00266532
68,1881.77,0.91939,1.26186,0.83813,1.34803,0.89518,0.83493,0.9301,0.7084,0.86812,0.80907,0.88847,0.67084,0.88951,0.98086,0.74942,1.57822,0.00253024,0.00253024,0.00253024
69,1908.37,0.92248,1.27135,0.86128,1.35772,0.92695,0.8352,0.91578,0.70138,0.90261,0.80254,0.86744,0.64603,0.90855,1.07037,0.76216,1.60071,0.00239766,0.00239766,0.00239766
70,1935.11,0.89737,1.25551,0.83742,1.34474,0.86309,0.87151,0.93511,0.70642,0.83819,0.84637,0.89935,0.66304,0.85965,1.07442,0.77643,1.54577,0.00226769,0.00226769,0.00226769
