epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8721,1.47836,1.60528,2.9882,0.35551,0.57143,0.40774,0.21437,1.8146,3.01023,3.82005,0.0703333,0.0032963,0.0032963
2,53.1289,1.36366,1.33238,2.80276,0.12737,0.17143,0.03573,0.00807,3.72527,13.1685,6.91694,0.0403326,0.00662891,0.00662891
3,77.654,1.29035,1.25658,2.76299,0.45126,0.63447,0.66839,0.36492,1.66687,5.8589,4.60144,0.010329,0.00995864,0.00995864
4,102.297,1.19506,1.15034,2.64493,0.80208,0.91429,0.89831,0.49917,1.1847,2.83563,3.31617,0.00999023,0.00999023,0.00999023
5,126.968,1.1176,1.07993,2.57861,0.54974,0.65714,0.59902,0.23172,1.63285,2.43966,4.06006,0.00998264,0.00998264,0.00998264
6,151.695,1.09615,1.03954,2.55442,0.84755,0.91429,0.93861,0.53101,1.42734,1.39693,3.21204,0.00997288,0.00997288,0.00997288
7,176.436,1.05214,1.02004,2.51416,0.84042,0.90302,0.92324,0.63807,1.14406,0.93482,3.30434,0.00996097,0.00996097,0.00996097
8,201.156,1.04753,1.00886,2.4973,0.81289,0.86906,0.92007,0.57174,1.17237,1.03918,3.15638,0.0099469,0.0099469,0.0099469
9,225.832,1.00113,0.92708,2.45719,0.81991,0.91067,0.92994,0.61253,1.08517,1.13236,3.20961,0.00993068,0.00993068,0.00993068
10,250.352,1.02391,0.95999,2.48797,0.86684,0.91429,0.9574,0.6311,1.2249,0.97812,3.21119,0.00991232,0.00991232,0.00991232
11,274.964,0.98893,0.90262,2.46288,0.86764,0.82857,0.91635,0.5685,1.08006,1.1762,3.16082,0.00989183,0.00989183,0.00989183
12,299.809,0.9847,0.90183,2.43237,0.89143,0.85714,0.93817,0.44045,1.23538,1.14186,3.11576,0.00986922,0.00986922,0.00986922
13,324.587,0.97281,0.92311,2.42153,0.98047,0.91429,0.98466,0.67296,0.96013,0.67679,2.90018,0.00984449,0.00984449,0.00984449
14,349.551,0.94774,0.86525,2.37672,0.79251,0.91429,0.94138,0.54366,1.19186,1.02285,3.03936,0.00981765,0.00981765,0.00981765
15,374.602,0.9185,0.86552,2.35057,0.84623,1,0.96642,0.66504,1.02553,0.82164,3.08604,0.00978873,0.00978873,0.00978873
16,399.711,0.9203,0.86608,2.37979,0.90658,0.97143,0.97355,0.67162,1.00441,0.67328,2.96344,0.00975773,0.00975773,0.00975773
17,424.764,0.92475,0.83834,2.34343,0.95563,0.91429,0.98171,0.67644,1.05043,0.65177,3.27978,0.00972466,0.00972466,0.00972466
18,449.746,0.92924,0.83231,2.36231,0.88784,0.90484,0.92696,0.64429,1.01324,0.90168,3.06417,0.00968955,0.00968955,0.00968955
19,474.656,0.90602,0.85019,2.34252,0.95533,0.97143,0.99123,0.66258,1.09331,0.89286,3.15794,0.00965239,0.00965239,0.00965239
20,499.641,0.90675,0.85935,2.38412,0.99794,0.94286,0.99083,0.71829,0.92584,0.59138,2.96455,0.00961322,0.00961322,0.00961322
21,524.741,0.87724,0.80666,2.32332,0.86222,0.82857,0.93351,0.73735,0.80792,1.01518,2.91101,0.00957205,0.00957205,0.00957205
22,549.589,0.89018,0.80754,2.34414,0.94547,1,0.98289,0.7018,0.97298,0.79395,2.80316,0.00952889,0.00952889,0.00952889
23,574.507,0.854,0.8108,2.3041,0.95683,1,0.995,0.69365,1.03388,0.60448,3.07876,0.00948377,0.00948377,0.00948377
24,599.461,0.86744,0.80155,2.29763,0.9431,0.94728,0.98424,0.72997,0.98011,0.73564,3.1543,0.00943671,0.00943671,0.00943671
25,624.387,0.82905,0.76004,2.26317,0.91545,0.92827,0.97185,0.7599,0.84714,0.65687,2.82447,0.00938772,0.00938772,0.00938772
26,649.386,0.82595,0.74048,2.26373,0.9389,0.87822,0.94371,0.72908,0.81843,0.66428,2.98554,0.00933683,0.00933683,0.00933683
27,674.519,0.80802,0.73754,2.26177,0.94314,0.94801,0.9923,0.69692,0.95729,0.64702,2.9302,0.00928405,0.00928405,0.00928405
28,699.46,0.84481,0.76208,2.2952,0.93213,1,0.98465,0.72942,0.84807,0.68477,2.826,0.00922942,0.00922942,0.00922942
29,724.219,0.82125,0.7713,2.24431,0.97112,0.96093,0.99256,0.76457,0.87434,0.5821,2.8061,0.00917296,0.00917296,0.00917296
30,749.102,0.82569,0.76814,2.29122,0.95248,0.91429,0.98342,0.76309,0.77776,0.63511,2.86553,0.00911469,0.00911469,0.00911469
31,774.058,0.8124,0.75159,2.23153,0.89621,0.98702,0.9819,0.721,0.85008,0.66263,2.86467,0.00905463,0.00905463,0.00905463
32,798.974,0.83174,0.76887,2.23169,0.94392,0.96208,0.97617,0.76771,0.79195,0.58438,2.88897,0.00899282,0.00899282,0.00899282
33,823.859,0.81335,0.7387,2.21146,0.96179,0.97143,0.9885,0.79188,0.77843,0.60122,2.74294,0.00892928,0.00892928,0.00892928
34,849.194,0.78611,0.73745,2.26571,0.94255,0.93757,0.98456,0.78317,0.76246,0.59758,2.88328,0.00886404,0.00886404,0.00886404
35,874.077,0.79672,0.71137,2.22117,0.9175,1,0.98164,0.72784,0.89224,0.66376,2.82341,0.00879713,0.00879713,0.00879713
36,898.943,0.77418,0.71033,2.20397,0.99609,0.94286,0.98889,0.79906,0.71938,0.55135,2.76188,0.00872857,0.00872857,0.00872857
37,923.879,0.78092,0.72615,2.22606,0.98056,0.91429,0.98375,0.75577,0.82583,0.77464,2.89693,0.00865839,0.00865839,0.00865839
38,948.736,0.76614,0.68629,2.17936,0.97234,0.94286,0.98746,0.77494,0.83683,0.62379,2.84901,0.00858664,0.00858664,0.00858664
39,973.751,0.7665,0.70919,2.20427,1,0.99395,0.995,0.72947,0.91959,0.75366,3.05752,0.00851333,0.00851333,0.00851333
40,998.646,0.76264,0.69532,2.18146,0.93819,0.97143,0.9823,0.79052,0.70537,0.61865,2.69134,0.00843851,0.00843851,0.00843851
41,1023.74,0.75275,0.67834,2.17945,0.94505,0.94286,0.99017,0.76616,0.75835,0.62978,2.75038,0.0083622,0.0083622,0.0083622
42,1048.59,0.75018,0.67702,2.13845,0.93769,0.94286,0.97608,0.73708,0.82824,0.77152,2.86326,0.00828443,0.00828443,0.00828443
43,1073.56,0.76187,0.69282,2.19732,0.94299,1,0.99135,0.7802,0.70209,0.55468,2.68135,0.00820525,0.00820525,0.00820525
44,1098.67,0.76422,0.70374,2.19576,0.91825,0.96299,0.96999,0.77106,0.77561,0.56078,2.80445,0.00812468,0.00812468,0.00812468
45,1123.66,0.75622,0.69708,2.15146,0.99742,1,0.995,0.79068,0.7559,0.55188,2.96576,0.00804277,0.00804277,0.00804277
46,1148.7,0.72545,0.65829,2.17503,0.989,1,0.995,0.78655,0.73996,0.47291,2.78756,0.00795954,0.00795954,0.00795954
47,1173.54,0.71987,0.65726,2.15343,0.95863,0.97143,0.99171,0.79501,0.72759,0.49265,2.73068,0.00787503,0.00787503,0.00787503
48,1198.38,0.73218,0.64617,2.1774,0.94796,0.94286,0.98393,0.78117,0.7498,0.63416,2.8138,0.00778929,0.00778929,0.00778929
49,1223.29,0.70654,0.6429,2.14034,0.97101,0.95729,0.98164,0.80104,0.72299,0.59786,2.77205,0.00770234,0.00770234,0.00770234
50,1248.39,0.71137,0.65195,2.18319,0.93973,1,0.99068,0.79552,0.67744,0.53962,2.82352,0.00761423,0.00761423,0.00761423
51,1273.22,0.73596,0.64222,2.16631,1,0.93927,0.99081,0.78038,0.77516,0.59486,2.8769,0.007525,0.007525,0.007525
52,1298.1,0.73185,0.66762,2.18367,1,0.99449,0.995,0.80183,0.6674,0.48991,2.76162,0.00743468,0.00743468,0.00743468
53,1323.19,0.69689,0.61415,2.09539,0.99354,1,0.995,0.79674,0.71659,0.47959,2.74837,0.00734332,0.00734332,0.00734332
54,1348.12,0.68928,0.61978,2.14169,0.9802,0.94286,0.99128,0.80491,0.71848,0.63834,2.74222,0.00725094,0.00725094,0.00725094
55,1373.09,0.71772,0.64536,2.14513,0.9139,0.94286,0.98174,0.76055,0.75217,0.61933,2.77988,0.00715761,0.00715761,0.00715761
56,1398.02,0.69813,0.63366,2.11401,0.93422,0.97143,0.98424,0.78153,0.72604,0.49026,2.67342,0.00706335,0.00706335,0.00706335
57,1422.94,0.70949,0.64614,2.16993,0.94186,0.94286,0.98674,0.76003,0.77099,0.62636,2.85524,0.0069682,0.0069682,0.0069682
58,1447.79,0.69122,0.61239,2.12294,0.91797,1,0.98795,0.73121,0.85283,0.57928,2.9428,0.00687222,0.00687222,0.00687222
59,1472.7,0.68674,0.61909,2.13752,0.98772,1,0.995,0.83396,0.63213,0.40625,2.7778,0.00677543,0.00677543,0.00677543
60,1497.64,0.68647,0.62615,2.11102,1,0.91087,0.98628,0.81429,0.65236,0.50741,2.68979,0.00667789,0.00667789,0.00667789
61,1522.56,0.6883,0.61982,2.10151,0.94134,1,0.9922,0.83174,0.643,0.45001,2.65963,0.00657963,0.00657963,0.00657963
62,1547.48,0.6919,0.60613,2.14513,1,0.98728,0.995,0.85081,0.62376,0.4445,2.67875,0.00648071,0.00648071,0.00648071
63,1572.33,0.68073,0.61413,2.11029,0.99403,0.94286,0.98715,0.8379,0.65286,0.54254,2.75851,0.00638115,0.00638115,0.00638115
64,1597.34,0.66273,0.61697,2.07478,0.98544,0.94286,0.99083,0.81777,0.61893,0.48653,2.66303,0.00628101,0.00628101,0.00628101
65,1622.37,0.66678,0.59585,2.08131,0.96772,1,0.98889,0.81843,0.66369,0.45897,2.58109,0.00618034,0.00618034,0.00618034
66,1647.25,0.66467,0.60778,2.12411,0.99966,1,0.995,0.79827,0.67085,0.47113,2.80394,0.00607916,0.00607916,0.00607916
67,1672.12,0.66127,0.59363,2.0851,0.9917,0.97143,0.99392,0.83523,0.62429,0.42469,2.7163,0.00597754,0.00597754,0.00597754
68,1697.12,0.66163,0.60223,2.071,0.96712,0.97143,0.99342,0.81685,0.73515,0.43546,2.69401,0.00587551,0.00587551,0.00587551
69,1722.12,0.66089,0.58633,2.06431,0.99594,1,0.995,0.78996,0.70515,0.46475,2.78453,0.00577311,0.00577311,0.00577311
70,1747.03,0.6457,0.5692,2.05425,1,0.99736,0.995,0.84508,0.66629,0.38297,2.64515,0.0056704,0.0056704,0.0056704
71,1772.14,0.65992,0.57114,2.08413,0.93785,1,0.9923,0.7907,0.67255,0.46446,2.73398,0.00556742,0.00556742,0.00556742
72,1797.07,0.66132,0.5806,2.1051,0.96466,0.97143,0.99209,0.8477,0.61123,0.38247,2.56109,0.00546421,0.00546421,0.00546421
73,1821.87,0.65363,0.57321,2.00883,0.95939,1,0.99028,0.81574,0.67406,0.4465,2.65597,0.00536081,0.00536081,0.00536081
74,1846.81,0.64366,0.59101,2.07378,0.96931,0.94286,0.97919,0.82283,0.645,0.5186,2.7023,0.00525728,0.00525728,0.00525728
75,1871.86,0.64488,0.57648,2.03857,0.94579,0.99707,0.99053,0.84542,0.58326,0.39274,2.64636,0.00515366,0.00515366,0.00515366
76,1896.76,0.63387,0.5516,2.05289,1,0.99607,0.995,0.84676,0.60519,0.41564,2.71724,0.00505,0.00505,0.00505
77,1921.71,0.65964,0.59029,2.08833,1,0.99365,0.995,0.85829,0.55775,0.42382,2.64495,0.00494634,0.00494634,0.00494634
78,1946.75,0.63679,0.55801,2.05197,0.89512,1,0.98359,0.80815,0.70018,0.49662,2.78674,0.00484272,0.00484272,0.00484272
79,1972.5,0.63725,0.56683,2.06187,0.96194,1,0.99028,0.84833,0.56753,0.42542,2.54582,0.00473919,0.00473919,0.00473919
80,1998.62,0.63633,0.55531,2.06251,0.91797,1,0.98064,0.83569,0.60558,0.43866,2.55239,0.00463579,0.00463579,0.00463579
81,2023.63,0.62311,0.54961,2.04181,0.96567,1,0.98806,0.82865,0.63623,0.3943,2.63593,0.00453258,0.00453258,0.00453258
82,2048.78,0.65163,0.58877,2.07861,0.96855,0.97143,0.98478,0.86048,0.57466,0.39262,2.58132,0.0044296,0.0044296,0.0044296
83,2073.4,0.61391,0.5469,2.05077,0.97037,0.93584,0.97654,0.82139,0.63148,0.43871,2.57937,0.00432689,0.00432689,0.00432689
84,2098.18,0.60045,0.52202,2.02872,0.93937,1,0.99049,0.8467,0.6134,0.37389,2.56964,0.00422449,0.00422449,0.00422449
85,2123.2,0.59876,0.5341,2.00921,0.94225,1,0.98877,0.83189,0.63204,0.42127,2.68162,0.00412246,0.00412246,0.00412246
86,2148.42,0.61726,0.53594,2.02538,1,0.9704,0.99392,0.83094,0.65304,0.39009,2.71315,0.00402084,0.00402084,0.00402084
87,2173.84,0.61011,0.55821,2.04208,1,0.99293,0.995,0.85014,0.58688,0.35018,2.57685,0.00391966,0.00391966,0.00391966
88,2200.02,0.60988,0.52409,2.04958,0.9987,0.97143,0.99392,0.85775,0.57999,0.35123,2.59031,0.00381899,0.00381899,0.00381899
89,2226.21,0.62196,0.55248,2.00617,0.96972,0.97143,0.99392,0.856,0.55693,0.36991,2.58605,0.00371885,0.00371885,0.00371885
90,2253.56,0.58445,0.51764,2.02691,0.94465,1,0.9923,0.86029,0.58249,0.35034,2.57063,0.00361929,0.00361929,0.00361929
91,2279.64,0.61109,0.53098,2.03948,0.94593,0.99972,0.99306,0.85537,0.61414,0.37827,2.61483,0.00352037,0.00352037,0.00352037
92,2309.61,0.58917,0.50363,1.99333,0.99602,1,0.995,0.85204,0.57103,0.35656,2.54549,0.00342211,0.00342211,0.00342211
93,2342.04,0.60402,0.53067,2.034,0.99667,0.97143,0.99444,0.85396,0.60462,0.329,2.56867,0.00332457,0.00332457,0.00332457
94,2373.49,0.5778,0.51061,2.01145,0.95597,0.97143,0.99135,0.85895,0.63654,0.39332,2.59496,0.00322778,0.00322778,0.00322778
