epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.507,1.25257,0.94028,2.77041,0.86455,0.77143,0.88238,0.64388,0.95755,1.36549,2.93178,0.00828443,0.00828443,0.00828443
43,123.298,1.1797,0.89387,2.70551,0.91601,0.93497,0.94468,0.68844,1.00024,1.18171,3.00905,0.00820525,0.00820525,0.00820525
44,126.119,1.02811,0.74859,2.70432,0.92655,0.91429,0.96223,0.64104,1.08627,1.06863,3.11982,0.00812468,0.00812468,0.00812468
45,128.878,1.09016,0.83473,2.68999,0.86889,0.94286,0.97389,0.69219,1.11278,0.81261,3.00987,0.00804277,0.00804277,0.00804277
46,131.808,1.13461,0.89384,2.76065,0.88528,0.94286,0.96164,0.70057,1.02463,0.6712,2.84715,0.00795954,0.00795954,0.00795954
47,134.703,1.12375,0.81293,2.63733,0.87278,0.88571,0.94166,0.64597,1.1076,1.04319,3.07872,0.00787503,0.00787503,0.00787503
48,137.585,1.02723,0.75011,2.47265,0.88794,0.90572,0.93123,0.70951,0.95766,0.91323,2.85954,0.00778929,0.00778929,0.00778929
49,140.447,1.14022,0.88406,2.68165,0.84822,0.97143,0.91084,0.70657,0.96471,0.82091,2.91694,0.00770234,0.00770234,0.00770234
50,143.235,1.14567,0.88082,2.54315,0.82429,0.97143,0.87847,0.67869,0.88653,0.80721,3.01014,0.00761423,0.00761423,0.00761423
51,146.03,1.05705,0.77746,2.63499,0.8179,0.88571,0.89589,0.6426,0.94213,0.88749,3.04211,0.007525,0.007525,0.007525
52,148.799,1.15851,0.8795,2.6219,0.87447,0.97143,0.96663,0.74775,0.8791,0.69522,2.7541,0.00743468,0.00743468,0.00743468
53,151.601,1.10183,0.80828,2.60116,0.94548,0.99108,0.99306,0.72146,0.94166,0.62331,2.74835,0.00734332,0.00734332,0.00734332
54,154.369,1.10631,0.80259,2.55127,0.97918,1,0.995,0.70373,0.96617,0.65074,3.03006,0.00725094,0.00725094,0.00725094
55,157.134,1.10953,0.83027,2.68874,0.97601,1,0.995,0.72166,0.95948,0.61912,3.06904,0.00715761,0.00715761,0.00715761
56,159.947,1.08507,0.7766,2.65985,0.94488,1,0.995,0.7992,0.79389,0.54804,2.78995,0.00706335,0.00706335,0.00706335
57,162.782,1.03573,0.76743,2.5272,0.91218,1,0.98944,0.79928,0.8019,0.54198,2.71752,0.0069682,0.0069682,0.0069682
58,165.577,1.08311,0.82416,2.61153,0.99217,1,0.995,0.80142,0.78859,0.5248,2.75165,0.00687222,0.00687222,0.00687222
59,168.512,1.06827,0.73686,2.6231,0.96838,1,0.99111,0.77879,0.84646,0.55142,2.76192,0.00677543,0.00677543,0.00677543
60,171.325,1.13258,0.79478,2.60788,0.92071,0.99536,0.97491,0.71365,0.92687,0.61331,2.79365,0.00667789,0.00667789,0.00667789
61,174.146,1.12007,0.7934,2.6201,0.9206,0.99388,0.973,0.67874,1.02234,0.64026,2.81861,0.00657963,0.00657963,0.00657963
62,176.953,1.1662,0.81262,2.70414,0.89376,0.97143,0.9702,0.71103,0.96276,0.60376,2.79399,0.00648071,0.00648071,0.00648071
63,179.739,1.13164,0.76452,2.67807,0.86045,0.97143,0.9218,0.61172,1.10545,0.71723,2.94657,0.00638115,0.00638115,0.00638115
64,182.571,1.07553,0.76815,2.61776,0.84375,0.97143,0.91548,0.56153,1.10565,0.84717,2.96638,0.00628101,0.00628101,0.00628101
65,185.341,0.95663,0.6666,2.5394,0.95912,0.97143,0.98999,0.77497,0.81275,0.56752,2.73197,0.00618034,0.00618034,0.00618034
66,188.128,1.04776,0.72537,2.62385,0.96875,1,0.99444,0.79366,0.80354,0.48345,2.88727,0.00607916,0.00607916,0.00607916
67,190.898,1.01389,0.66399,2.64885,0.9653,1,0.99361,0.7752,0.74406,0.52293,2.9256,0.00597754,0.00597754,0.00597754
68,193.69,1.07906,0.76338,2.52843,0.94205,1,0.98462,0.80117,0.74471,0.54479,2.84357,0.00587551,0.00587551,0.00587551
69,196.495,0.99398,0.69509,2.55778,0.94323,1,0.98481,0.80457,0.78024,0.53692,2.80107,0.00577311,0.00577311,0.00577311
70,199.345,0.97524,0.67228,2.42839,0.94319,1,0.97464,0.79694,0.83397,0.53389,2.83086,0.0056704,0.0056704,0.0056704
71,202.137,1.03505,0.73417,2.53381,0.94391,0.96173,0.97472,0.75927,0.87959,0.64144,2.95572,0.00556742,0.00556742,0.00556742
72,204.918,1.0467,0.71702,2.68753,0.88619,0.89004,0.96144,0.7178,0.91677,0.73222,3.00057,0.00546421,0.00546421,0.00546421
73,207.713,1.04483,0.78439,2.70685,0.93606,0.97143,0.98403,0.76401,0.84741,0.68345,2.82908,0.00536081,0.00536081,0.00536081
74,210.516,0.9538,0.68311,2.49354,0.91694,1,0.98341,0.78018,0.8676,0.58154,2.86756,0.00525728,0.00525728,0.00525728
75,213.353,1.03193,0.75378,2.66438,0.91568,1,0.97234,0.76965,0.82121,0.56858,2.839,0.00515366,0.00515366,0.00515366
76,216.21,0.93822,0.69484,2.47946,0.91758,1,0.99175,0.77634,0.78635,0.5534,2.73726,0.00505,0.00505,0.00505
77,219.068,0.97084,0.67631,2.4938,0.94439,1,0.9922,0.75892,0.81657,0.56255,2.64704,0.00494634,0.00494634,0.00494634
78,222.157,0.93557,0.65728,2.5297,0.97211,0.99597,0.99361,0.80375,0.80601,0.54661,2.66548,0.00484272,0.00484272,0.00484272
79,225.255,1.00139,0.72672,2.48143,0.86275,0.94286,0.92902,0.65759,0.9452,0.81215,2.91223,0.00473919,0.00473919,0.00473919
80,228.281,0.98703,0.70986,2.46645,0.78671,0.82857,0.87059,0.59669,0.84941,0.94575,2.96026,0.00463579,0.00463579,0.00463579
81,231.102,0.94245,0.69955,2.47223,0.84851,0.88571,0.9085,0.64609,0.78851,0.79534,2.92561,0.00453258,0.00453258,0.00453258
82,234.035,0.97887,0.73854,2.63982,0.84577,0.94286,0.93668,0.68695,0.73925,0.64061,2.82662,0.0044296,0.0044296,0.0044296
83,237.064,0.95314,0.6912,2.5351,0.97057,0.94236,0.97523,0.75947,0.74446,0.52751,2.74247,0.00432689,0.00432689,0.00432689
84,240.064,0.91237,0.65185,2.61374,0.96701,1,0.98944,0.80358,0.71288,0.46919,2.67024,0.00422449,0.00422449,0.00422449
85,243.077,0.86424,0.58791,2.55905,0.96765,1,0.98944,0.8176,0.72593,0.49295,2.69726,0.00412246,0.00412246,0.00412246
86,246.164,0.93809,0.68526,2.44449,0.9696,1,0.99194,0.81665,0.76222,0.53508,2.67898,0.00402084,0.00402084,0.00402084
87,249.071,0.90436,0.65847,2.39179,0.97222,0.99979,0.99361,0.83353,0.723,0.52687,2.6001,0.00391966,0.00391966,0.00391966
88,252.098,0.94339,0.68413,2.52908,0.96991,1,0.99444,0.83354,0.69572,0.47689,2.58336,0.00381899,0.00381899,0.00381899
89,255.125,0.89452,0.62348,2.53212,0.97178,0.98419,0.99278,0.84264,0.67616,0.45423,2.6139,0.00371885,0.00371885,0.00371885
90,258.157,0.93763,0.68841,2.49277,0.94439,0.97045,0.98999,0.80471,0.70948,0.49155,2.61225,0.00361929,0.00361929,0.00361929
91,261.078,0.92332,0.71192,2.45913,0.97093,0.95438,0.99256,0.80264,0.75985,0.54476,2.60888,0.00352037,0.00352037,0.00352037
92,264.025,0.86599,0.6306,2.59374,0.93953,1,0.99306,0.79845,0.82724,0.48874,2.66804,0.00342211,0.00342211,0.00342211
93,266.897,0.91244,0.68088,2.48689,0.99672,1,0.995,0.81731,0.78659,0.43041,2.63282,0.00332457,0.00332457,0.00332457
94,269.794,0.96873,0.70698,2.50917,0.99595,1,0.995,0.82439,0.73763,0.44993,2.59771,0.00322778,0.00322778,0.00322778
95,272.754,0.83778,0.62302,2.52568,0.97218,0.99859,0.99361,0.84804,0.65827,0.4691,2.62459,0.0031318,0.0031318,0.0031318
96,275.823,0.8666,0.64077,2.38758,0.97092,1,0.99444,0.84663,0.6491,0.44756,2.57924,0.00303665,0.00303665,0.00303665
97,278.749,0.82477,0.59288,2.55515,1,0.99784,0.995,0.84096,0.68093,0.4376,2.52673,0.00294239,0.00294239,0.00294239
98,281.72,0.8916,0.57959,2.45601,0.97213,0.99656,0.99444,0.84586,0.6607,0.42037,2.49849,0.00284906,0.00284906,0.00284906
99,284.754,0.86996,0.62584,2.41361,0.97221,0.99972,0.99444,0.84464,0.66979,0.44358,2.53797,0.00275668,0.00275668,0.00275668
100,287.774,0.81428,0.57811,2.47809,0.98956,1,0.995,0.86028,0.65636,0.42484,2.51351,0.00266532,0.00266532,0.00266532
101,290.792,0.88417,0.61796,2.41305,0.95833,1,0.99361,0.84798,0.65503,0.39826,2.48125,0.002575,0.002575,0.002575
102,293.737,0.83513,0.5815,2.43269,0.94182,1,0.99306,0.85948,0.654,0.38958,2.47178,0.00248577,0.00248577,0.00248577
103,296.69,0.92657,0.59829,2.54406,0.94268,1,0.9923,0.85458,0.66999,0.40547,2.49805,0.00239766,0.00239766,0.00239766
104,299.599,0.86178,0.60982,2.48237,0.94312,1,0.9923,0.84683,0.69039,0.42019,2.55489,0.00231071,0.00231071,0.00231071
105,302.563,0.83828,0.54704,2.36648,0.94292,1,0.9923,0.83065,0.70506,0.4324,2.60102,0.00222497,0.00222497,0.00222497
106,305.512,0.84029,0.60918,2.39634,0.94304,1,0.99392,0.8343,0.67803,0.42487,2.54036,0.00214046,0.00214046,0.00214046
107,308.386,0.85961,0.62714,2.38996,0.9431,1,0.99135,0.84316,0.66037,0.42886,2.52513,0.00205723,0.00205723,0.00205723
108,311.261,0.92776,0.66816,2.48549,0.94533,0.98823,0.99049,0.83941,0.64211,0.43778,2.54962,0.00197532,0.00197532,0.00197532
109,314.184,0.82358,0.57118,2.53915,0.94543,0.9902,0.9922,0.85554,0.60788,0.43415,2.58138,0.00189475,0.00189475,0.00189475
110,317.213,0.80103,0.58274,2.41107,0.97213,0.99685,0.99444,0.84047,0.59915,0.42761,2.59454,0.00181557,0.00181557,0.00181557
111,320.241,0.83439,0.65723,2.39284,0.94063,1,0.9922,0.85356,0.61536,0.40741,2.5689,0.0017378,0.0017378,0.0017378
112,323.257,0.83379,0.62111,2.41743,0.96591,1,0.99444,0.85164,0.65758,0.41164,2.54289,0.00166149,0.00166149,0.00166149
113,326.174,0.83474,0.63401,2.35944,0.96651,1,0.99361,0.85535,0.6703,0.41597,2.52223,0.00158667,0.00158667,0.00158667
114,329.145,0.80713,0.56952,2.28,0.97205,0.9938,0.99444,0.85272,0.64208,0.40113,2.49768,0.00151336,0.00151336,0.00151336
115,332.102,0.78468,0.57174,2.32706,0.99462,0.97143,0.99392,0.83624,0.63114,0.4005,2.48348,0.00144161,0.00144161,0.00144161
116,335.065,0.76051,0.52828,2.33721,1,0.99673,0.995,0.83213,0.64336,0.38961,2.4919,0.00137143,0.00137143,0.00137143
117,338.003,0.79828,0.53695,2.41911,0.99968,1,0.995,0.82989,0.64694,0.37993,2.49528,0.00130287,0.00130287,0.00130287
118,340.959,0.69682,0.48678,2.37098,0.99821,1,0.995,0.84595,0.64998,0.38287,2.49023,0.00123596,0.00123596,0.00123596
119,343.869,0.80614,0.54944,2.36122,0.99611,1,0.995,0.85002,0.68521,0.38889,2.48103,0.00117072,0.00117072,0.00117072
120,346.784,0.82424,0.58452,2.50338,0.9932,1,0.995,0.83352,0.73242,0.39633,2.48055,0.00110718,0.00110718,0.00110718
121,349.896,0.79597,0.53475,2.2994,0.99101,1,0.995,0.83136,0.74472,0.39402,2.48688,0.00104537,0.00104537,0.00104537
122,352.783,0.8458,0.59503,2.36072,0.98966,1,0.995,0.83749,0.7127,0.38355,2.48217,0.000985311,0.000985311,0.000985311
