epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,128.869,1.48297,1.37874,1.71183,0.33327,0.45946,0.36015,0.13611,2.23333,2.15408,3.24428,0.00612981,0.00612981,0.00612981
45,131.642,1.45348,1.27111,1.66128,0.63415,0.75676,0.76125,0.42067,1.42389,1.43375,2.01333,0.00597754,0.00597754,0.00597754
46,134.496,1.46291,1.25504,1.67552,0.63597,0.78378,0.74838,0.39061,1.32407,1.5495,1.89545,0.00582435,0.00582435,0.00582435
47,137.341,1.42409,1.28463,1.66043,0.7713,0.72923,0.7992,0.44182,1.34041,1.61685,1.92765,0.0056704,0.0056704,0.0056704
48,140.262,1.41843,1.24059,1.61186,0.65974,0.75676,0.81765,0.41047,1.35328,1.63661,1.97053,0.00551584,0.00551584,0.00551584
49,143.153,1.39743,1.2776,1.64592,0.79719,0.74385,0.85162,0.42535,1.42101,1.49142,2.02398,0.00536081,0.00536081,0.00536081
50,146.031,1.3591,1.1755,1.568,0.78345,0.78378,0.87149,0.47194,1.41192,1.46385,2.01975,0.00520548,0.00520548,0.00520548
51,148.963,1.32913,1.2148,1.55929,0.76435,0.72973,0.79474,0.30958,1.96939,1.50837,2.64719,0.00505,0.00505,0.00505
52,151.749,1.28634,1.11153,1.53882,0.68118,0.86619,0.82481,0.47118,1.42006,1.26,1.99519,0.00489452,0.00489452,0.00489452
53,154.584,1.35027,1.13344,1.51578,0.69751,0.81021,0.82229,0.4756,1.33714,1.20987,1.92191,0.00473919,0.00473919,0.00473919
54,157.383,1.33495,1.14271,1.5576,0.6713,0.83784,0.81741,0.47397,1.30763,1.17154,1.94,0.00458416,0.00458416,0.00458416
55,160.221,1.33465,1.09235,1.54353,0.67348,0.81081,0.81204,0.44857,1.35127,1.22258,1.96362,0.0044296,0.0044296,0.0044296
56,163.038,1.26582,1.09023,1.51044,0.73845,0.78378,0.82951,0.46942,1.31634,1.2529,1.89896,0.00427565,0.00427565,0.00427565
57,165.91,1.35052,1.15172,1.6193,0.63069,0.73863,0.74251,0.42905,1.33552,1.42337,1.89608,0.00412246,0.00412246,0.00412246
58,168.762,1.2884,1.12488,1.5392,0.7114,0.75676,0.81368,0.46541,1.25117,1.30799,1.87598,0.00397019,0.00397019,0.00397019
59,171.646,1.27698,1.04633,1.52929,0.62719,0.89189,0.82998,0.46005,1.34633,1.21146,1.97081,0.00381899,0.00381899,0.00381899
60,174.462,1.32142,1.09732,1.58377,0.76495,0.78378,0.8452,0.48354,1.246,1.18723,1.86966,0.00366899,0.00366899,0.00366899
61,177.358,1.22851,1.05282,1.46689,0.77936,0.78378,0.84217,0.4941,1.25319,1.18067,1.83108,0.00352037,0.00352037,0.00352037
62,180.267,1.2836,1.06386,1.51463,0.80739,0.83784,0.85863,0.515,1.29644,1.15269,1.82239,0.00337325,0.00337325,0.00337325
63,183.15,1.31298,1.13336,1.61164,0.83093,0.83784,0.88152,0.52083,1.35873,1.13784,1.87235,0.00322778,0.00322778,0.00322778
64,186.04,1.24273,1.01751,1.50428,0.78972,0.75676,0.88339,0.53167,1.38929,1.13157,1.87436,0.00308412,0.00308412,0.00308412
65,188.889,1.20481,0.95938,1.44527,0.72551,0.85736,0.86728,0.52486,1.34154,1.13061,1.85287,0.00294239,0.00294239,0.00294239
66,191.705,1.21849,0.98377,1.48036,0.67235,0.81081,0.8025,0.48245,1.31562,1.14844,1.89454,0.00280275,0.00280275,0.00280275
67,194.517,1.20628,1.03672,1.47454,0.82903,0.78639,0.88025,0.51515,1.28545,1.07926,1.86936,0.00266532,0.00266532,0.00266532
68,197.337,1.2417,1.04131,1.49425,0.87309,0.74399,0.90099,0.56854,1.19088,0.98984,1.78576,0.00253024,0.00253024,0.00253024
69,200.269,1.22419,1.00623,1.44781,0.68605,0.94595,0.90802,0.56365,1.24222,0.98229,1.7944,0.00239766,0.00239766,0.00239766
70,203.129,1.25269,0.98243,1.563,0.79422,0.93894,0.92743,0.55695,1.24419,1.01655,1.79761,0.00226769,0.00226769,0.00226769
